A,Corridor 4,1.0401188707280833%
A,Corridor 6,0.2063727918111276%
A,Interior 1,8.238401849100214%
A,Interior 2,1.7005118045236916%
A,Interior 3,1.2134720158494303%
A,Parks,3.1863959055638102%
A,Transit 10,0.03301964668978042%
A,Transit 15,0.008254911672445105%
B,Corridor 4,5.943536404160476%
B,Corridor 6,1.2382367508667658%
B,Interior 1,12.786858180617468%
B,Interior 2,10.062737328710583%
B,Interior 3,6.141654284299158%
B,Parks,2.7076110285619945%
B,Transit 10,0.42100049529470035%
B,Transit 15,0.06603929337956084%
B,Transit 20,0.09080402839689615%
B,Transit 30,0.01650982334489021%
B,Transportation,0.024764735017335313%
C,Core 50,0.04127455836222552%
C,Corridor 4,5.580320290572891%
C,Corridor 6,3.1121017005118046%
C,Interior 1,3.0378074954597984%
C,Interior 2,5.48126135050355%
C,Interior 3,6.504870397886743%
C,Parks,1.7417863628859171%
C,Production,1.1556876341423146%
C,Transit 10,1.3868251609707776%
C,Transit 15,0.09905894006934125%
C,Transit 20,0.3301964668978042%
C,Transit 30,0.2063727918111276%
C,Transportation,0.1898629684662374%
D,Core 50,0.01650982334489021%
D,Corridor 4,2.294865444939739%
D,Corridor 6,2.369159649991745%
D,Interior 1,2.8644543503384514%
D,Interior 2,1.18045236915965%
D,Interior 3,2.0307082714214957%
D,Parks,1.5436684827472347%
D,Production,0.23939243850090805%
D,Transit 10,0.8750206372791811%
D,Transit 15,0.5695889053987122%
D,Transit 20,0.4457652303120357%
D,Transit 30,1.254746574211656%
D,Transportation,0.3219415552253591%
